timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 10 26 0.3884749412143123 0.011525058785687714
3 1 22 0.3960781315841981 0.0039218684158019435
3 15 33 0.3942200926071051 0.005779907392894912
3 33 39 0.3959364606531304 0.004063539346869649
4 1 21 0.39684667714296384 0.003153322857036178
4 1 29 0.3899392911501445 0.010060708849855549
5 46 54 0.38967397893111677 0.010326021068883251
6 22 25 0.3862778609059842 0.013722139094015817
6 35 51 0.39607888370290084 0.003921116297099181
6 55 61 0.3912316138632086 0.008768386136791428
8 26 50 0.3987817661981171 0.0012182338018829064
8 46 73 0.3980203638362426 0.0019796361637574034
8 54 71 0.39649158818467695 0.003508411815323076
11 51 70 0.39405856236797715 0.005941437632022872
16 41 77 0.3939193743340702 0.0060806256659298175
26 3 46 0.39112057582001714 0.008879424179982887
26 41 48 0.39588660731259917 0.004113392687400852
27 41 48 0.39588660731259917 0.004113392687400852
42 22 84 0.398095184336369 0.0019048156636310432
74 70 77 0.39352244572836487 0.006477554271635155
