pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
4 0.0 0
5 0.0 0
6 0.0 1
7 0.0 1
8 0.0 1
9 0.0 1
10 0.0 1
11 0.0 1
12 0.0 1
13 0.0 1
14 0.0 1
15 0.0 1
16 0.0 1
17 0.0 1
18 0.0 1
19 0.0 1
20 0.4 1
5 0.5 0
9 0.5 1
10 0.5 1
11 0.5 1
1 0.6 0
2 0.6 0
4 0.6 0
6 0.6 1
16 0.6 1
17 0.6 1
18 0.6 1
19 0.6 1
3 0.7 0
7 0.7 1
12 0.7 1
14 0.7 1
15 0.7 1
8 0.8 1
13 0.8 1
5 1.0 0
20 1.0 1
2 1.1 0
4 1.1 0
9 1.1 1
10 1.1 1
11 1.1 1
1 1.2 0
16 1.2 1
18 1.2 1
19 1.2 1
3 1.3 0
6 1.3 1
12 1.3 1
14 1.3 1
17 1.3 1
7 1.4 1
15 1.4 1
5 1.5 0
8 1.5 1
13 1.5 1
9 1.6 1
10 1.6 1
11 1.6 1
20 1.6 1
2 1.7 0
4 1.7 0
1 1.8 0
16 1.8 1
18 1.8 1
19 1.8 1
6 1.9 1
17 1.9 1
3 2.0 0
5 2.0 0
12 2.0 1
14 2.0 1
9 2.1 1
10 2.1 1
15 2.1 1
2 2.2 0
7 2.2 1
11 2.2 1
20 2.2 1
4 2.3 0
8 2.3 1
13 2.3 1
1 2.4 0
16 2.4 1
18 2.4 1
19 2.4 1
5 2.5 0
6 2.5 1
17 2.5 1
12 2.6 1
14 2.6 1
3 2.7 0
9 2.7 1
10 2.7 1
11 2.7 1
15 2.7 1
20 2.7 1
2 2.8 0
4 2.8 0
5 2.9 0
7 2.9 1
1 3.0 0
8 3.0 1
13 3.0 1
16 3.0 1
18 3.0 1
19 3.0 1
6 3.1 1
9 3.2 1
10 3.2 1
17 3.2 1
2 3.3 0
11 3.3 1
12 3.3 1
14 3.3 1
20 3.3 1
3 3.4 0
4 3.4 0
5 3.4 0
15 3.4 1
1 3.6 0
7 3.6 1
16 3.6 1
18 3.6 1
19 3.6 1
10 3.7 1
6 3.8 1
8 3.8 1
